Matram,longitude,latitude,Z.Elev,Date,Salinity,Dist_to_TanChau_km,WL_Mean_3D_Lag,WL_Mean_7D_Lag,Month_sin,Month_cos,Day_sin,Day_cos
BD00012019,106.58,10.43,0.95,2019-03-04,8.1,155.18354278322323,0.2999999999999997,0.3857142857142858,1.0,6.123233995736766e-17,0.8840675099433636,0.4673592171580022
BD00012019,106.58,10.43,0.95,2019-03-18,9.0,155.18354278322323,0.0999999999999997,0.3485714285714287,1.0,6.123233995736766e-17,0.9700639218515071,0.2428497220959356
BD00012019,106.58,10.43,0.95,2019-04-02,8.0,155.18354278322323,0.37999999999999984,0.5014285714285716,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882
BD00012019,106.58,10.43,0.95,2019-04-16,9.4,155.18354278322323,0.1333333333333332,0.542857142857143,0.8660254037844387,-0.4999999999999998,0.9679377830240642,-0.25119006388481935
BD00012019,106.58,10.43,0.95,2019-05-01,6.7,155.18354278322323,0.25999999999999984,0.47571428571428587,0.49999999999999994,-0.8660254037844387,0.8717063187093218,-0.4900286664290592
BD00012019,106.58,10.43,1.07,2019-05-16,4.1,155.18354278322323,0.19999999999999982,0.38000000000000017,0.49999999999999994,-0.8660254037844387,0.717676913675962,-0.6963762255968722
BD00012019,106.58,10.43,1.07,2019-06-01,4.4,155.18354278322323,0.19666666666666655,0.21571428571428583,1.2246467991473532e-16,-1.0,0.5012418134457758,-0.865307254363206
BD00012019,106.58,10.43,1.07,2019-06-19,0.9,155.18354278322323,0.8366666666666666,0.5571428571428573,1.2246467991473532e-16,-1.0,0.21352091543979612,-0.9769384927771817
BD00012020,106.58,10.43,0.73,2020-03-09,19.8,155.18354278322323,-0.03000000000000022,0.09285714285714299,1.0,6.123233995736766e-17,0.9275416835791966,0.37371971479046906
BD00012020,106.58,10.43,1.03,2020-03-27,12.9,155.18354278322323,0.4299999999999997,0.2371428571428573,1.0,6.123233995736766e-17,0.9973249731081555,0.07309512989807777
BD00012020,106.58,10.43,1.03,2020-04-27,12.8,155.18354278322323,0.7733333333333331,0.482857142857143,0.8660254037844387,-0.4999999999999998,0.895839290734909,-0.4443781781046132
